"","p","d","m"
"1",584,1,12239.2511019506
"2",695,1,9692.69249150895
"3",584,1,13221.7917034317
"4",584,1,11392.341023959
"5",770,0,7287.12769589027
"6",584,1,10665.2129929582
"7",584,1,7970.28722873876
"8",584,1,10116.9897160006
"9",584,1,8499.53395497853
"10",584,1,7120.88331726626
"11",584,1,11152.3497004446
"12",584,1,12122.3222525909
"13",695,1,9464.26225722329
"14",695,0,8570.96467304487
"15",584,0,6158.78142754831
"16",584,1,9799.47761663818
"17",859,0,7626.43809131226
"18",695,1,10443.0768037153
"19",695,0,7992.86816939138
"20",584,1,8472.31877304247
"21",584,1,13499.3141673427
"22",666,0,9052.42457036411
"23",584,0,4980.13949354664
"24",689,0,9833.34472571146
"25",584,1,10283.0984854593
"26",695,0,8820.76316859464
"27",584,1,10419.7973499254
"28",584,0,7809.84947232791
"29",584,0,8461.52136482316
"30",770,0,7288.43327995613
"31",666,1,12695.5159400876
"32",695,1,11447.7399363966
"33",770,1,11546.7717723947
"34",770,1,14605.7234918806
"35",770,0,8983.07773029798
"36",695,1,13426.8358858494
"37",695,0,7709.65201410349
"38",584,1,8284.97749163555
"39",584,1,8958.89775613767
"40",770,0,8300.42650981807
"41",584,1,8169.68710471235
"42",695,1,15585.1386334268
"43",859,0,8307.72427690363
"44",584,1,10544.0804667748
"45",584,1,11946.5091165943
"46",584,1,15250.093123713
"47",695,0,10282.6404320404
"48",584,1,10566.0087569971
"49",695,1,12165.0551409969
"50",584,0,8608.92900122246
"51",584,1,11311.1764460915
"52",695,1,12694.9348429332
"53",770,0,8506.94570451587
"54",584,1,9286.17756323602
"55",584,1,10808.0482084213
"56",584,1,11901.971721623
"57",770,0,9214.0570374005
"58",695,1,14255.0364870698
"59",666,0,11454.3685192233
"60",695,0,10392.1500848462
"61",584,1,9378.01032678949
"62",584,1,9343.94561882197
"63",584,1,9573.87040906462
"64",666,1,9512.47118838882
"65",666,1,13443.4393534189
"66",584,1,14819.9881620337
"67",584,1,9157.67835292373
"68",695,0,9626.14771071389
"69",584,1,12476.952842177
"70",666,1,11448.3562694952
"71",584,1,10367.0200872155
"72",770,0,14447.6171363545
"73",584,1,9444.10098750301
"74",770,1,12002.6730477605
"75",584,1,9484.93328776375
"76",770,0,9674.08314623641
"77",584,1,9082.90886970804
"78",584,1,14060.7072984877
"79",695,1,10552.370508149
"80",770,1,13463.9103537638
"81",584,1,8563.96205788443
"82",666,1,15026.12189379
"83",584,1,11038.4076829158
"84",666,1,9893.2142585461
"85",666,0,7383.60161090043
"86",770,0,11307.5370587103
"87",695,1,11780.5815958398
"88",695,0,10704.8182686632
"89",859,0,10526.5339931405
"90",584,1,9633.87772284453
"91",584,1,11852.2054014927
"92",666,1,13860.6202659623
"93",695,1,13010.1405981705
"94",666,1,13168.5807234898
"95",695,1,12483.3960443178
"96",695,1,12671.357882417
"97",584,1,11839.1226214253
"98",859,0,14695.7461892295
"99",770,0,8139.76461509882
"100",584,1,9233.10085904891
"101",584,1,15216.4379615434
"102",584,1,8725.67938794734
"103",770,1,13079.1972967604
"104",695,1,15909.7859632072
"105",695,0,9605.52419425711
"106",584,1,13193.8977922724
"107",695,0,6827.99673631864
"108",859,0,8545.58588405708
"109",584,1,10431.5362913493
"110",666,0,7332.59723187999
"111",584,1,10167.7866547059
"112",695,1,13504.3158995229
"113",695,1,10592.4346750544
